MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
24.5,4,6,0.667,0,2,0.0,4,6,0.667,1,3,4,3,0,0,1,0,12,11.3
28.37,5,7,0.714,3,4,0.75,1,2,0.5,2,3,5,0,0,0,2,0,14,11.0
34.65,7,16,0.438,1,4,0.25,1,1,1.0,0,5,5,4,0,2,2,3,16,10.1
15.33,4,5,0.8,0,0,0.0,2,2,1.0,3,1,4,0,0,1,0,3,10,10.0
34.62,7,13,0.538,2,7,0.286,0,1,0.0,0,0,0,2,0,0,1,0,16,9.7
20.72,5,10,0.5,1,4,0.25,0,0,0.0,1,2,3,4,1,0,1,3,11,8.9
26.35,3,8,0.375,2,4,0.5,4,4,1.0,1,3,4,1,0,0,1,3,12,7.7
24.38,2,3,0.667,0,0,0.0,0,0,0.0,3,6,9,1,0,2,1,0,4,7.7
19.32,2,3,0.667,0,0,0.0,0,0,0.0,2,1,3,1,1,1,0,0,4,6.8
24.17,4,10,0.4,2,7,0.286,0,0,0.0,1,4,5,1,0,0,0,2,10,6.4
31.55,3,11,0.273,2,8,0.25,2,4,0.5,1,2,3,3,2,0,1,2,10,6.3
34.22,4,12,0.333,1,7,0.143,0,0,0.0,0,1,1,5,2,0,1,2,9,6.2
15.78,2,4,0.5,1,3,0.333,0,0,0.0,0,1,1,2,1,0,1,1,5,4.3
34.17,1,7,0.143,0,4,0.0,2,2,1.0,0,5,5,3,1,0,0,3,4,2.9
17.7,1,6,0.167,0,3,0.0,0,0,0.0,3,4,7,2,0,0,0,1,2,2.5
6.08,0,0,0.0,0,0,0.0,0,0,0.0,0,4,4,0,0,1,0,0,0,1.9
20.22,1,7,0.143,0,5,0.0,3,3,1.0,2,2,4,2,1,0,3,1,5,1.5
13.38,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,1,3,1.2
16.0,3,8,0.375,0,3,0.0,0,0,0.0,0,2,2,1,1,0,1,5,6,0.9
17.22,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,2,0,0,2,1,2,0.6
5.4,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,0,0,0,2,0,3,0.0
6.08,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.0
6.8,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-0.4
4.33,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4
2.68,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-0.7
2.78,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7
24.97,1,10,0.1,1,9,0.111,0,0,0.0,1,3,4,4,0,0,1,2,3,-1.0
11.42,0,3,0.0,0,3,0.0,2,2,1.0,1,1,2,0,0,0,0,5,2,-1.1
37.92,10,20,0.5,4,12,0.333,10,10,1.0,1,7,8,11,1,1,2,3,34,33.0
34.57,9,15,0.6,4,7,0.571,13,14,0.929,1,8,9,2,0,0,2,2,35,29.4
36.67,7,16,0.438,2,6,0.333,14,16,0.875,1,4,5,12,1,1,3,1,30,29.4
31.2,12,24,0.5,4,8,0.5,5,6,0.833,4,7,11,3,1,1,0,2,33,28.5
28.48,11,12,0.917,0,0,0.0,6,6,1.0,4,4,8,1,0,3,2,1,28,28.4
26.95,9,14,0.643,1,2,0.5,6,6,1.0,4,5,9,3,2,3,1,2,25,27.5
33.72,14,27,0.519,7,13,0.538,1,1,1.0,2,3,5,3,3,0,2,4,36,26.5
33.87,10,22,0.455,2,3,0.667,3,4,0.75,6,12,18,5,4,1,3,2,25,25.4
38.3,9,19,0.474,6,12,0.5,6,7,0.857,3,6,9,6,0,0,3,1,30,24.6
31.47,13,23,0.565,3,5,0.6,4,4,1.0,2,5,7,2,2,1,3,4,33,24.5
31.2,8,11,0.727,0,0,0.0,9,16,0.563,1,13,14,7,0,1,3,4,25,23.3
31.97,8,15,0.533,1,3,0.333,2,3,0.667,3,5,8,9,2,0,0,0,19,23.2
29.58,6,7,0.857,0,0,0.0,4,5,0.8,6,8,14,1,1,5,2,2,16,22.1
23.1,10,16,0.625,3,6,0.5,0,0,0.0,1,3,4,4,2,1,0,3,23,21.7
25.07,4,10,0.4,3,7,0.429,6,6,1.0,0,9,9,10,2,0,2,0,17,21.3
36.53,10,23,0.435,2,6,0.333,6,6,1.0,0,5,5,8,1,0,2,2,28,21.2
27.93,7,12,0.583,0,2,0.0,8,9,0.889,0,5,5,10,1,0,3,4,22,20.9
31.43,10,16,0.625,5,10,0.5,2,2,1.0,2,3,5,2,0,0,2,2,27,20.7
38.47,8,12,0.667,4,6,0.667,4,5,0.8,0,3,3,1,1,1,2,1,24,19.3
29.95,9,19,0.474,5,11,0.455,0,0,0.0,0,2,2,5,1,1,0,1,23,18.7
20.63,8,9,0.889,2,2,1.0,1,2,0.5,0,1,1,4,0,0,0,1,19,18.2
30.7,8,12,0.667,1,2,0.5,4,5,0.8,2,9,11,1,0,0,1,3,21,18.0
14.73,8,12,0.667,5,7,0.714,1,1,1.0,1,4,5,1,0,0,1,2,22,17.6
27.67,7,14,0.5,2,5,0.4,5,7,0.714,0,2,2,3,3,1,2,2,21,16.8
26.08,5,7,0.714,0,0,0.0,4,5,0.8,2,5,7,1,1,4,1,1,14,16.7
28.95,8,16,0.5,4,8,0.5,4,4,1.0,3,3,6,1,0,1,3,2,24,16.6
30.07,4,4,1.0,0,0,0.0,5,6,0.833,4,9,13,4,0,0,2,3,13,16.5
27.08,8,20,0.4,4,10,0.4,4,4,1.0,0,4,4,4,1,1,1,4,24,16.3
18.95,6,7,0.857,2,2,1.0,0,0,0.0,1,1,2,6,2,0,2,1,14,16.3
30.38,6,7,0.857,4,5,0.8,0,0,0.0,0,5,5,3,0,0,0,2,16,16.3
35.45,9,23,0.391,5,15,0.333,5,5,1.0,0,2,2,0,0,0,0,0,28,16.1
21.77,6,9,0.667,6,9,0.667,0,0,0.0,1,2,3,1,0,2,1,1,18,16.1
24.62,5,5,1.0,0,0,0.0,4,5,0.8,1,3,4,2,1,0,0,1,14,15.7
36.05,7,14,0.5,3,8,0.375,3,3,1.0,0,9,9,4,0,4,4,4,20,15.7
34.53,6,12,0.5,2,4,0.5,1,4,0.25,3,2,5,2,5,1,1,4,15,15.0
19.98,5,9,0.556,4,5,0.8,4,6,0.667,1,1,2,1,1,1,1,1,18,14.9
35.08,5,10,0.5,1,5,0.2,0,0,0.0,0,2,2,8,2,1,0,0,11,14.9
39.87,10,28,0.357,2,9,0.222,7,9,0.778,3,9,12,8,1,0,8,3,29,14.8
15.8,7,8,0.875,0,0,0.0,0,0,0.0,0,2,2,4,1,0,1,0,14,14.6
17.3,5,8,0.625,1,3,0.333,4,4,1.0,3,2,5,0,1,0,0,2,15,14.3
23.07,8,15,0.533,4,7,0.571,0,0,0.0,2,2,4,2,0,0,1,2,20,14.3
32.05,5,15,0.333,2,7,0.286,7,7,1.0,0,6,6,5,0,2,3,0,19,14.2
36.77,10,17,0.588,5,8,0.625,2,3,0.667,1,4,5,3,0,0,7,4,27,14.1
29.98,4,15,0.267,0,3,0.0,6,7,0.857,0,8,8,10,1,0,1,0,14,14.1
24.2,4,7,0.571,3,5,0.6,2,4,0.5,0,4,4,6,0,0,0,1,13,13.9
30.6,5,13,0.385,0,2,0.0,7,9,0.778,4,1,5,4,1,0,1,3,17,13.8
25.1,7,16,0.438,2,5,0.4,1,2,0.5,2,3,5,7,0,1,2,1,17,13.7
22.77,5,8,0.625,0,0,0.0,2,2,1.0,3,4,7,1,1,3,1,2,12,13.7
33.82,8,13,0.615,0,0,0.0,5,8,0.625,1,8,9,3,0,0,3,6,21,13.7
22.45,4,6,0.667,3,5,0.6,2,2,1.0,1,4,5,1,0,2,0,2,13,13.6
27.68,5,8,0.625,2,3,0.667,7,9,0.778,1,5,6,1,0,0,3,3,19,13.3
27.9,7,18,0.389,0,5,0.0,8,9,0.889,1,3,4,4,0,0,2,3,22,13.0
43.67,8,17,0.471,2,5,0.4,7,9,0.778,0,7,7,0,3,1,7,4,25,12.7
25.22,3,3,1.0,0,0,0.0,3,4,0.75,0,3,3,1,4,0,1,0,9,12.3
25.85,7,10,0.7,1,1,1.0,1,1,1.0,1,2,3,3,2,1,4,4,16,12.3
27.48,4,10,0.4,0,3,0.0,7,8,0.875,2,5,7,2,2,2,4,2,15,12.1
28.53,4,7,0.571,3,5,0.6,1,2,0.5,2,3,5,0,2,1,0,3,12,12.1
29.27,5,13,0.385,2,6,0.333,4,4,1.0,1,1,2,1,0,2,0,0,16,12.0
12.53,3,4,0.75,1,2,0.5,4,4,1.0,0,2,2,4,1,0,1,3,11,11.6
33.97,3,7,0.429,2,5,0.4,8,8,1.0,1,3,4,1,0,0,1,5,16,11.6
26.62,3,7,0.429,1,2,0.5,1,2,0.5,4,10,14,2,2,0,1,2,8,11.3
25.82,4,4,1.0,2,2,1.0,1,2,0.5,0,3,3,1,1,0,0,2,11,11.2
28.75,5,11,0.455,2,5,0.4,2,2,1.0,0,5,5,3,0,1,1,1,14,11.2
24.98,5,8,0.625,0,0,0.0,6,8,0.75,0,2,2,3,1,1,4,2,16,11.2
38.98,10,31,0.323,2,9,0.222,3,4,0.75,0,6,6,3,1,1,1,1,25,11.1
32.13,5,9,0.556,4,5,0.8,1,2,0.5,0,4,4,6,1,1,4,6,15,11.0
29.0,5,6,0.833,2,2,1.0,0,0,0.0,2,2,4,1,2,0,2,4,12,10.9
29.88,3,8,0.375,2,4,0.5,3,4,0.75,4,2,6,4,2,0,2,4,11,10.8
14.48,3,4,0.75,0,1,0.0,2,2,1.0,0,1,1,3,2,0,0,0,8,10.8
28.93,4,9,0.444,4,7,0.571,2,2,1.0,0,1,1,1,1,0,0,2,14,10.5
34.97,6,18,0.333,1,9,0.111,2,2,1.0,1,4,5,4,3,2,3,2,15,10.1
14.88,5,11,0.455,3,8,0.375,2,2,1.0,0,2,2,2,0,0,0,3,15,10.1
27.9,4,9,0.444,1,2,0.5,1,3,0.333,4,2,6,4,0,0,0,2,10,9.9
32.02,4,10,0.4,1,6,0.167,5,6,0.833,0,4,4,0,1,1,0,3,14,9.9
39.6,5,16,0.313,1,7,0.143,6,6,1.0,1,3,4,4,0,1,3,0,17,9.9
18.52,3,5,0.6,0,1,0.0,2,2,1.0,0,2,2,3,2,3,2,2,8,9.7
37.45,5,10,0.5,0,1,0.0,2,2,1.0,4,5,9,3,0,1,3,4,12,9.5
30.42,8,18,0.444,1,6,0.167,4,6,0.667,1,1,2,1,0,0,1,5,21,9.5
14.23,4,9,0.444,2,4,0.5,3,4,0.75,0,2,2,4,1,0,2,2,13,9.5
33.17,6,18,0.333,2,8,0.25,2,2,1.0,0,2,2,3,1,1,0,2,16,9.4
27.9,4,9,0.444,3,6,0.5,2,2,1.0,0,7,7,1,0,1,2,1,13,9.4
30.95,5,12,0.417,0,2,0.0,0,0,0.0,2,9,11,2,2,0,1,2,10,9.3
24.02,7,14,0.5,1,7,0.143,0,1,0.0,1,4,5,1,1,1,1,4,15,9.3
25.05,4,8,0.5,0,1,0.0,2,2,1.0,5,8,13,0,0,0,1,5,10,8.9
21.82,3,6,0.5,0,2,0.0,0,2,0.0,1,2,3,7,3,1,2,3,6,8.9
20.43,3,3,1.0,1,1,1.0,1,2,0.5,0,6,6,3,1,2,3,3,8,8.8
30.23,4,8,0.5,1,2,0.5,0,0,0.0,1,4,5,2,2,1,1,3,9,8.8
37.38,4,18,0.222,2,11,0.182,4,4,1.0,2,2,4,6,2,0,2,1,14,8.8
25.78,3,10,0.3,2,4,0.5,4,5,0.8,1,5,6,1,2,0,0,5,12,8.7
35.53,3,11,0.273,1,6,0.167,3,4,0.75,1,7,8,6,0,6,4,4,10,8.7
19.1,4,11,0.364,2,8,0.25,1,2,0.5,0,2,2,4,3,0,1,3,11,8.7
16.02,2,2,1.0,1,1,1.0,2,2,1.0,0,3,3,2,0,1,1,0,7,8.4
19.18,4,9,0.444,2,2,1.0,3,5,0.6,2,3,5,3,0,0,2,4,13,8.3
18.72,3,7,0.429,1,4,0.25,3,3,1.0,0,1,1,4,1,1,2,2,10,8.3
23.52,2,6,0.333,1,4,0.25,3,4,0.75,3,5,8,1,0,1,0,3,8,8.0
18.55,4,5,0.8,3,4,0.75,0,0,0.0,0,1,1,0,0,0,1,1,11,8.0
22.32,2,5,0.4,1,4,0.25,6,8,0.75,0,9,9,2,2,0,4,4,11,8.0
25.52,1,5,0.2,0,2,0.0,7,10,0.7,3,2,5,1,0,0,0,1,9,7.7
30.48,5,11,0.455,0,1,0.0,4,7,0.571,1,4,5,3,0,0,3,1,14,7.7
19.52,3,5,0.6,0,0,0.0,0,0,0.0,1,6,7,1,1,1,1,0,6,7.6
14.22,2,2,1.0,0,0,0.0,4,6,0.667,1,1,2,1,0,1,1,1,8,7.6
21.83,5,11,0.455,1,2,0.5,2,4,0.5,1,3,4,0,0,1,0,3,13,7.6
25.25,1,1,1.0,0,0,0.0,1,2,0.5,4,2,6,1,1,1,0,2,3,7.3
14.85,1,2,0.5,0,1,0.0,0,0,0.0,3,2,5,3,2,1,1,1,2,7.1
18.75,2,4,0.5,1,2,0.5,2,2,1.0,1,1,2,0,2,1,0,4,7,7.1
20.25,2,4,0.5,1,2,0.5,0,0,0.0,2,2,4,2,2,0,1,1,5,7.0
36.85,4,9,0.444,0,3,0.0,3,8,0.375,1,9,10,4,3,1,6,3,11,7.0
14.6,2,6,0.333,1,3,0.333,2,2,1.0,3,3,6,0,1,1,1,1,7,6.9
20.9,4,9,0.444,1,5,0.2,0,0,0.0,1,3,4,1,0,1,0,1,9,6.9
34.82,3,8,0.375,0,2,0.0,2,2,1.0,0,2,2,7,1,0,2,3,8,6.9
25.52,4,8,0.5,1,4,0.25,1,3,0.333,2,2,4,3,3,0,3,6,10,6.9
16.03,2,4,0.5,1,3,0.333,2,2,1.0,1,5,6,2,0,0,1,2,7,6.8
34.45,3,6,0.5,2,5,0.4,3,3,1.0,0,2,2,0,0,0,0,5,11,6.6
19.7,2,5,0.4,1,3,0.333,0,0,0.0,1,7,8,1,2,0,0,3,5,6.6
5.12,3,3,1.0,2,2,1.0,0,0,0.0,0,1,1,0,0,0,0,2,8,6.6
15.23,1,1,1.0,1,1,1.0,2,2,1.0,1,4,5,1,0,0,0,2,5,6.5
27.1,4,6,0.667,0,1,0.0,0,3,0.0,1,4,5,4,1,0,1,6,8,6.5
34.78,4,13,0.308,0,5,0.0,2,2,1.0,0,8,8,6,1,1,4,1,10,6.4
27.83,5,13,0.385,2,6,0.333,2,3,0.667,0,3,3,1,0,0,1,2,14,6.3
6.72,2,3,0.667,2,3,0.667,0,0,0.0,0,1,1,1,1,0,0,1,6,6.3
21.38,2,7,0.286,2,6,0.333,2,2,1.0,0,1,1,3,1,1,1,2,8,6.2
15.42,3,4,0.75,0,0,0.0,1,4,0.25,0,5,5,0,1,1,0,3,7,6.2
10.47,2,4,0.5,1,1,1.0,0,0,0.0,3,0,3,2,0,0,0,1,5,6.1
32.62,5,12,0.417,2,7,0.286,3,3,1.0,0,2,2,3,1,0,5,3,15,6.1
33.13,2,7,0.286,2,5,0.4,2,3,0.667,1,4,5,1,0,1,0,2,8,6.0
24.97,4,6,0.667,0,2,0.0,0,0,0.0,0,4,4,3,0,0,2,2,8,5.9
29.55,3,10,0.3,2,7,0.286,0,0,0.0,3,5,8,1,1,2,1,5,8,5.9
23.92,3,4,0.75,0,0,0.0,0,2,0.0,2,6,8,1,0,2,1,5,6,5.9
16.95,3,4,0.75,0,1,0.0,0,0,0.0,1,2,3,0,1,0,0,2,6,5.9
15.85,3,6,0.5,2,3,0.667,1,2,0.5,1,2,3,1,0,0,1,2,9,5.8
32.28,5,11,0.455,0,3,0.0,0,0,0.0,0,9,9,2,1,1,4,1,10,5.7
16.37,2,4,0.5,2,4,0.5,0,0,0.0,0,2,2,1,0,1,0,1,6,5.6
11.22,2,4,0.5,1,2,0.5,2,2,1.0,0,0,0,0,1,0,0,1,7,5.6
35.78,6,13,0.462,1,6,0.167,0,0,0.0,1,1,2,1,0,1,2,3,13,5.5
10.73,2,4,0.5,1,2,0.5,1,1,1.0,1,0,1,1,1,0,1,0,6,5.4
24.82,3,6,0.5,2,4,0.5,0,0,0.0,1,3,4,1,1,1,2,4,8,5.4
26.03,3,11,0.273,1,6,0.167,4,4,1.0,3,2,5,1,1,0,2,4,11,5.3
24.2,3,4,0.75,0,0,0.0,0,0,0.0,2,3,5,8,0,1,6,5,6,5.0
9.0,1,2,0.5,1,1,1.0,4,4,1.0,0,1,1,0,0,0,1,1,7,4.9
13.0,3,5,0.6,0,0,0.0,0,0,0.0,2,2,4,0,0,0,0,2,6,4.9
27.83,2,6,0.333,2,6,0.333,2,2,1.0,0,2,2,2,0,2,2,3,8,4.8
26.33,2,5,0.4,2,3,0.667,1,3,0.333,0,2,2,1,0,1,0,2,7,4.7
13.65,2,4,0.5,1,3,0.333,0,0,0.0,0,2,2,4,0,0,1,2,5,4.6
12.23,1,1,1.0,0,0,0.0,0,0,0.0,2,4,6,0,0,1,0,1,2,4.6
12.55,2,5,0.4,0,2,0.0,1,2,0.5,0,1,1,2,1,0,0,0,5,4.6
12.32,1,2,0.5,0,0,0.0,1,2,0.5,2,0,2,0,2,0,0,1,3,4.6
15.3,2,6,0.333,0,3,0.0,2,2,1.0,1,2,3,0,2,0,1,1,6,4.5
14.08,0,2,0.0,0,0,0.0,2,2,1.0,3,3,6,2,1,1,1,3,2,4.5
14.98,1,4,0.25,0,0,0.0,0,0,0.0,2,3,5,0,1,2,0,0,2,4.3
12.88,1,3,0.333,0,1,0.0,0,0,0.0,1,1,2,2,2,0,0,1,2,4.3
4.63,2,4,0.5,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,0,6,4.3
18.32,5,12,0.417,0,3,0.0,1,1,1.0,1,4,5,0,1,1,2,5,11,4.2
16.07,2,4,0.5,1,3,0.333,2,2,1.0,0,0,0,1,0,0,0,4,7,4.1
15.42,3,6,0.5,0,0,0.0,0,0,0.0,2,5,7,1,0,0,1,4,6,4.0
2.22,2,3,0.667,1,2,0.5,0,0,0.0,1,0,1,0,0,0,0,1,5,4.0
24.07,2,7,0.286,1,4,0.25,1,2,0.5,2,1,3,3,0,1,2,0,6,4.0
3.87,2,3,0.667,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,0,4,3.7
34.33,5,16,0.313,2,6,0.333,1,2,0.5,0,3,3,7,1,0,5,4,13,3.6
11.45,1,4,0.25,1,2,0.5,0,2,0.0,2,1,3,0,1,2,0,1,3,3.5
11.32,1,2,0.5,0,1,0.0,1,1,1.0,0,1,1,2,0,0,0,1,3,3.3
12.8,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,3,1,0,0,3,3,3.2
16.15,2,4,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,1,0,2,5,3.2
24.22,2,5,0.4,1,3,0.333,0,0,0.0,1,4,5,1,1,1,3,1,5,3.2
19.03,1,2,0.5,0,0,0.0,1,2,0.5,0,2,2,2,0,1,1,1,3,2.9
5.12,1,1,1.0,0,0,0.0,1,2,0.5,0,1,1,1,0,0,0,1,3,2.9
16.98,1,2,0.5,0,1,0.0,0,0,0.0,1,3,4,2,1,1,2,2,2,2.9
25.82,1,8,0.125,0,2,0.0,1,2,0.5,1,3,4,5,1,1,1,1,3,2.8
1.77,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,2.7
31.07,3,18,0.167,1,6,0.167,5,9,0.556,0,2,2,7,0,0,1,2,12,2.7
6.25,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,2.7
3.12,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,2.7
8.5,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,2,1,0,0,2,2,2.6
25.85,3,14,0.214,0,2,0.0,3,4,0.75,3,3,6,5,0,0,2,5,9,2.5
16.03,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,2,1,0,0,3,2,2.5
3.27,1,2,0.5,1,1,1.0,0,0,0.0,1,0,1,1,0,0,1,0,3,2.4
2.65,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2,2.0
4.5,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,2.0
32.68,1,6,0.167,0,3,0.0,0,0,0.0,1,3,4,2,2,0,0,3,2,2.0
15.07,1,3,0.333,0,0,0.0,1,2,0.5,2,3,5,0,0,0,0,3,3,2.0
11.53,1,3,0.333,0,2,0.0,0,0,0.0,0,0,0,1,1,0,0,0,2,2.0
8.5,2,5,0.4,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,4,2.0
12.58,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,0,1,1,1,1,2,1.9
19.52,3,9,0.333,0,2,0.0,4,6,0.667,1,3,4,1,0,1,4,3,10,1.9
6.67,1,1,1.0,1,1,1.0,1,2,0.5,0,2,2,1,0,0,2,2,4,1.8
4.07,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,1.7
24.55,4,10,0.4,0,3,0.0,0,0,0.0,0,0,0,3,2,0,5,0,8,1.7
8.0,1,4,0.25,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,0,3,1.6
25.15,0,5,0.0,0,5,0.0,3,3,1.0,1,0,1,2,1,2,2,1,3,1.6
6.35,1,2,0.5,1,2,0.5,0,0,0.0,1,0,1,1,0,0,1,2,3,1.6
8.02,2,4,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,4,1.6
23.45,2,6,0.333,2,5,0.4,0,2,0.0,0,0,0,1,1,0,0,5,6,1.5
23.62,0,2,0.0,0,2,0.0,2,2,1.0,0,2,2,2,1,0,1,3,2,1.4
1.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,0,0,1.4
6.25,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,1,0,0,0,1.4
19.67,2,7,0.286,2,5,0.4,0,0,0.0,0,1,1,1,0,0,0,4,6,1.3
8.5,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,1.3
13.15,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,1.3
14.73,2,4,0.5,0,0,0.0,1,5,0.2,4,1,5,0,0,0,1,6,5,1.1
6.65,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,1,0,2,1.0
1.77,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,1.0
15.55,2,5,0.4,0,1,0.0,0,0,0.0,1,1,2,3,0,1,3,3,4,0.9
22.7,3,12,0.25,1,6,0.167,0,0,0.0,0,1,1,6,0,0,2,4,7,0.7
2.65,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0,0.7
19.47,0,0,0.0,0,0,0.0,2,2,1.0,0,4,4,0,0,0,1,4,2,0.6
26.15,2,6,0.333,0,0,0.0,2,4,0.5,3,6,9,2,0,0,5,4,6,0.5
6.3,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,1,0,2,0,0.5
19.0,2,8,0.25,1,4,0.25,2,4,0.5,1,0,1,0,0,0,1,2,7,0.3
16.07,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,2,0,0.2
7.28,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,2,0,0.2
16.55,2,9,0.222,1,3,0.333,0,0,0.0,2,3,5,1,1,0,3,1,5,0.1
0.62,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
2.65,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
1.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
5.35,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.1
24.93,0,5,0.0,0,4,0.0,0,0,0.0,4,3,7,4,1,0,3,3,0,-0.2
8.73,1,5,0.2,0,2,0.0,0,0,0.0,0,2,2,1,0,1,0,3,2,-0.3
1.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4
13.68,1,5,0.2,0,2,0.0,0,0,0.0,1,2,3,1,0,0,1,1,2,-0.5
1.1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7
6.33,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7
4.7,0,3,0.0,0,3,0.0,0,0,0.0,0,2,2,1,0,0,0,1,0,-1.2
22.47,1,6,0.167,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,1,2,-1.2
7.52,0,1,0.0,0,0,0.0,0,2,0.0,0,2,2,1,0,0,1,0,0,-1.2
5.35,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1.4
9.92,0,2,0.0,0,1,0.0,1,4,0.25,1,0,1,1,0,0,1,1,1,-1.6
5.35,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.7
5.35,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1.8
6.25,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-1.8
12.93,1,8,0.125,0,4,0.0,0,0,0.0,1,3,4,2,1,0,2,2,2,-2.0
31.42,1,6,0.167,0,3,0.0,0,0,0.0,1,2,3,0,0,0,0,4,2,-2.1
5.35,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,2,1,0,-2.5
17.5,0,7,0.0,0,5,0.0,0,0,0.0,0,3,3,6,0,0,2,2,0,-2.6
1.0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-3.1
14.85,0,4,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,1,3,0,-4.3
35.78,11,18,0.611,0,5,0.0,3,5,0.6,4,10,14,5,2,4,2,2,25,27.3
34.82,13,17,0.765,5,6,0.833,2,3,0.667,0,5,5,4,0,0,3,3,33,26.0
36.2,11,24,0.458,2,6,0.333,4,5,0.8,2,5,7,8,2,3,2,2,28,25.0
30.3,10,20,0.5,3,6,0.5,4,5,0.8,1,7,8,3,4,0,2,1,27,23.1
26.08,7,13,0.538,6,10,0.6,2,2,1.0,3,4,7,1,3,0,0,1,22,22.3
35.2,6,13,0.462,1,3,0.333,3,4,0.75,4,8,12,13,2,1,3,3,16,21.7
28.65,9,20,0.45,3,11,0.273,4,7,0.571,2,9,11,6,1,0,1,1,25,21.3
39.2,10,24,0.417,5,15,0.333,7,7,1.0,1,6,7,4,1,0,3,4,32,20.9
32.48,9,17,0.529,6,11,0.545,2,2,1.0,0,1,1,4,4,1,4,3,26,20.3
36.27,9,25,0.36,4,11,0.364,6,8,0.75,1,9,10,8,1,1,4,3,28,18.8
42.53,7,18,0.389,0,2,0.0,12,14,0.857,1,7,8,2,1,0,2,0,26,18.6
43.0,8,17,0.471,5,10,0.5,2,2,1.0,2,9,11,2,0,0,0,3,23,18.6
27.78,6,8,0.75,0,0,0.0,3,5,0.6,4,7,11,6,1,0,2,4,15,17.5
38.18,8,13,0.615,3,4,0.75,5,8,0.625,1,7,8,1,2,1,4,4,24,17.5
29.27,6,11,0.545,4,7,0.571,3,4,0.75,1,3,4,4,1,0,1,1,19,17.3
